temperature,humidity,co2
23.99,46.82,2338
24.08,48.7,2390
24.03,46.82,2459
23.91,47.39,2452
23.99,48.06,2520
23.94,46.1,2581
23.9,48.02,2592
23.97,47.21,2669
23.87,46.05,2634
23.9,47.81,2685
23.81,46.42,2612
24.15,46.73,1960
24.96,46.77,1621
25.32,47.07,1814
25.25,49.4,1756
24.48,49.51,1758
23.54,47.54,1713
22.93,49.93,1773
23.41,52.48,1850
23.4,50.6,1856
23.45,48.69,1906
23.7,48.16,1931
23.78,46.49,1904
23.73,45.91,1948
23.87,45.84,1932
23.81,44.6,1938
23.76,45.01,1981
23.95,44.55,1847
23.97,43.24,1431
23.82,43.81,1334
23.66,42.97,1290
23.48,44.04,1279
23.66,45.64,1280
23.59,44.71,1300
23.52,46.09,1320
23.75,47.1,1356
23.54,45.42,1353
23.49,46.64,1401
23.77,46.82,1417
23.67,45.17,1459
23.59,45.18,1455
23.69,44.53,1495
23.54,43.76,1518
23.58,44.94,1591
23.72,44.07,1292
23.93,45.75,1088
24.06,50.72,988
24.28,51.17,1001
24.65,50.65,979
24.56,48.78,967
23.75,47.87,979
23.56,50.58,1006
23.57,49.84,1039
23.26,48.87,1151
23.18,47.69,1217
23.05,46.74,1297
23.08,46.8,1394
23.77,47.17,1538
24.57,46.85,1637
25.21,46.94,1637
25.63,47.38,1714
25.92,47.87,1758
26.13,48.43,1883
26.31,49.13,2003
26.43,48.65,1921
26.46,47.34,1594
26.43,46.29,1155
26.42,46.14,1076
26.36,46.3,1105
26.33,45.79,912
26.26,45.91,807
26.16,46.55,834
26.05,46.99,813
25.98,47.36,830
25.93,47.64,818
25.91,47.82,814
25.9,47.96,801
25.88,48.18,809
25.88,48.35,793
25.87,48.36,784
25.86,48.6,794
25.83,48.84,804
25.79,49.03,797
25.77,49.17,795
25.74,49.27,783
25.71,49.42,763
25.69,49.57,761
25.67,49.7,777
25.66,49.83,748
25.65,49.95,742
25.64,50.07,743
25.63,50.16,744
25.62,50.27,738
25.63,50.32,721
25.62,50.4,732
25.61,50.49,723
25.61,50.58,726
25.6,50.68,729
25.6,50.76,717
25.58,50.89,704
25.57,51.01,700
25.57,51.11,712
25.57,51.2,688
25.57,51.3,694
25.56,51.39,696
25.56,51.47,675
25.57,51.51,665
25.56,51.57,677
25.56,51.63,690
25.56,51.67,675
25.56,51.72,663
25.56,51.78,652
25.55,51.84,659
25.56,51.88,656
25.54,51.94,657
25.53,52.01,645
25.54,52.06,664
25.54,52.09,627
25.54,52.13,641
25.54,52.19,626
25.53,52.25,621
25.54,52.26,609
25.54,52.29,609
25.54,52.3,602
25.54,52.34,604
25.54,52.36,605
25.54,52.39,606
25.53,52.45,593
25.52,52.52,588
25.52,52.53,595
25.52,52.56,591
25.5,52.66,566
25.49,52.73,563
25.49,52.78,560
25.49,52.84,570
25.49,52.85,556
25.49,52.9,555
25.49,52.93,543
25.47,53.0,540
25.46,53.03,534
25.46,53.05,534
25.46,53.07,531
25.45,53.13,527
25.44,53.17,520
25.44,53.2,532
25.43,53.23,508
25.42,53.27,501
25.42,53.27,499
25.42,53.27,487
25.41,53.27,483
25.42,53.31,487
25.41,53.38,498
25.39,53.43,500
25.38,53.48,496
25.37,53.5,489
25.36,53.54,496
25.36,53.54,496
25.36,53.44,485
25.36,53.4,480
25.36,53.34,481
25.35,53.39,456
25.35,53.41,455
25.36,53.35,460
25.35,53.37,462
25.35,53.46,463
25.35,53.29,468
25.34,53.51,464
25.33,53.53,478
25.33,53.42,460
25.33,53.54,459
25.31,53.6,478
25.31,53.63,463
25.31,53.41,458
25.32,53.24,444
25.32,53.28,450
25.32,53.49,463
25.3,53.57,445
25.3,53.45,445
25.3,53.31,439
25.3,53.26,431
25.3,53.29,436
25.3,53.28,424
25.29,53.58,451
25.29,53.53,430
25.29,53.34,432
25.28,53.38,421
25.28,53.37,436
25.28,53.41,425
25.27,53.63,436
25.26,53.57,445
25.27,53.46,415
25.26,53.64,417
25.25,53.73,421
25.25,53.78,415
25.25,53.83,413
25.25,54.01,424
25.25,54.2,422
25.24,54.42,421
25.23,54.73,415
25.22,54.9,414
25.22,54.9,420
25.22,55.14,414
25.21,54.89,420
25.2,55.22,428
25.2,55.16,426
25.2,55.49,427
25.19,55.17,419
25.19,55.23,425
25.19,55.24,415
25.18,55.19,413
25.18,55.15,413
25.18,55.12,428
25.17,55.14,414
25.17,55.19,417
25.17,55.15,413
25.16,55.19,427
25.16,55.15,424
25.15,55.13,418
25.15,55.1,422
25.15,55.11,418
25.15,55.17,426
25.14,55.14,412
25.14,55.15,416
25.14,55.14,414
25.13,55.21,418
25.12,55.22,415
25.12,55.2,416
25.12,55.16,419
25.12,55.14,417
25.11,55.16,411
25.11,55.26,421
25.12,55.38,410
25.11,55.5,415
25.11,55.63,413
25.11,55.68,411
25.11,55.8,414
24.95,55.44,410
23.44,51.65,418
22.32,51.2,445
21.99,50.22,514
21.86,49.18,585
21.82,48.56,655
21.79,48.04,718
21.81,47.61,800
21.82,47.14,883
21.84,47.1,966
21.95,47.94,1055
22.31,50.99,1155
22.35,49.01,1251
22.29,48.05,1311
22.19,47.41,1409
22.11,47.03,1466
22.06,46.61,1496
22.02,46.24,1576
21.96,46.06,1677
21.93,45.64,1718
21.95,46.45,1715
21.88,48.28,1423
21.73,48.93,1154
21.44,47.67,1100
21.23,47.14,1120
21.39,50.97,1174
21.69,50.09,1240
21.65,48.96,1295
21.58,48.12,1345
21.54,47.56,1374
21.52,47.33,1420
21.54,47.08,1463
21.66,47.38,1468
22.48,47.49,1536
23.46,47.4,1567
24.17,47.06,1580
24.67,46.9,1699
25.03,47.67,1703
25.29,48.64,1681
25.46,50.45,1561
25.46,51.67,1494
24.53,50.22,1134
23.14,50.46,924
22.17,50.68,786
21.36,49.59,786
21.47,49.02,846
21.81,48.38,904
22.05,47.57,995
22.19,47.13,1065
22.38,49.64,1144
22.66,49.81,1234
22.65,48.41,1292
22.62,47.61,1350
22.55,46.75,1402
22.45,46.52,1474
22.41,46.17,1475
22.37,46.08,1524
22.42,47.4,1511
22.55,48.87,1258
22.35,47.57,1166
22.37,48.44,1127
23.25,51.85,1075
24.27,51.46,974
24.9,51.36,1048
25.25,53.71,1153
25.41,55.75,1254
25.57,58.46,1426
25.77,60.11,1580
25.96,61.46,1711
26.15,62.39,1867
26.31,62.99,2004
26.47,62.99,2077
26.59,63.72,2245
26.64,64.06,2349
26.59,63.55,2440
25.98,60.74,2486
25.34,58.89,2539
24.94,56.88,2606
24.65,54.85,2604
24.47,53.72,2695
24.45,52.48,2313
24.45,52.14,1678
24.4,52.03,1287
24.19,51.1,1191
24.01,50.11,1267
23.92,49.38,1344
23.8,48.59,1403
23.67,47.92,1466
23.59,47.58,1555
23.56,47.57,1654
23.49,47.0,1719
23.48,46.65,1745
23.41,46.14,1803
23.37,46.17,1897
23.44,45.63,1973
23.39,45.4,1965
23.35,45.16,2017
23.32,45.8,2053
23.52,47.06,1872
23.57,47.8,1407
23.68,50.34,1078
24.24,51.15,881
24.69,50.34,982
24.9,51.49,1039
24.61,50.59,1111
24.2,49.89,1228
23.96,49.39,1387
23.77,48.21,1417
23.59,47.39,1491
23.43,46.76,1548
23.32,46.14,1617
23.26,45.66,1643
23.18,45.23,1707
23.1,45.11,1729
23.09,45.04,1807
23.26,45.59,1834
23.37,45.27,1903
23.6,47.3,1547
24.05,48.16,1307
24.39,48.62,1267
24.61,47.78,1244
24.78,47.7,1250
24.91,48.14,1214
25.02,48.13,1185
25.1,48.09,1179
25.17,48.21,1175
25.22,48.33,1166
25.24,48.95,1137
24.82,48.95,1105
24.11,48.1,1126
23.97,49.83,1154
23.99,49.33,1254
23.79,49.0,1342
23.97,49.75,1467
23.91,47.78,1544
23.78,48.19,1559
24.01,48.29,1603
23.82,47.0,1657
23.86,48.27,1696
23.95,47.63,1705
23.8,47.81,1612
24.09,51.2,1161
24.07,49.83,1087
24.04,52.38,859
24.47,54.53,710
24.89,53.47,768
25.18,52.6,869
25.21,52.56,823
24.37,52.05,778
24.31,54.02,714
24.62,53.72,667
24.8,52.83,679
24.9,52.66,702
24.98,52.59,678
25.04,52.54,688
25.07,52.56,690
25.09,52.7,678
25.11,52.88,699
25.13,52.99,695
25.14,53.1,671
25.14,53.22,672
25.15,53.31,662
25.16,53.38,666
25.18,53.42,675
25.19,53.46,656
25.2,53.52,653
25.2,53.58,651
25.21,53.64,656
25.22,53.73,640
25.23,53.85,628
25.23,53.98,639
25.23,54.05,639
25.23,54.19,634
25.24,54.24,620
25.25,54.23,633
25.25,54.35,622
25.25,54.37,620
25.24,54.44,608
25.25,54.48,598
25.25,54.56,613
25.25,54.64,608
25.25,54.66,615
25.25,54.7,604
25.24,54.78,611
25.24,54.82,603
25.24,54.89,599
25.23,54.94,599
25.23,55.0,593
25.24,55.01,603
25.24,55.04,596
25.25,55.06,585
25.25,55.11,595
25.25,55.13,590
25.25,55.18,597
25.27,55.25,588
25.27,55.3,576
25.26,55.39,562
25.27,55.44,568
25.28,55.49,569
25.28,55.52,563
25.27,55.57,551
25.27,55.57,565
25.27,55.62,550
25.26,55.69,555
25.26,55.74,544
25.26,55.79,547
25.26,55.8,553
25.26,55.83,553
25.25,55.88,550
25.25,55.9,547
25.25,55.98,551
25.25,56.0,539
25.25,56.06,541
25.26,56.14,535
25.26,56.19,533
25.26,56.22,530
25.25,56.24,532
25.24,56.31,527
25.24,56.34,536
25.25,56.37,525
25.25,56.4,517
25.25,56.52,515
25.25,56.59,508
25.24,56.66,505
25.24,56.73,507
25.24,56.87,502
25.23,56.91,499
25.23,56.94,505
25.24,57.01,485
25.23,57.05,510
25.23,57.15,504
25.22,57.25,493
25.21,57.31,484
25.22,57.3,489
25.21,57.41,485
25.2,57.49,483
25.19,57.52,477
25.2,57.59,481
25.19,57.71,483
25.19,57.78,472
25.19,57.75,482
25.18,57.87,468
25.17,57.94,467
25.14,57.95,466
25.14,57.94,460
25.14,57.97,464
25.13,58.03,451
25.13,58.04,475
25.14,58.12,470
25.14,58.09,464
25.13,58.09,458
25.12,58.06,464
25.11,58.07,466
25.1,58.12,470
25.09,58.16,467
25.08,58.16,464
25.09,58.17,467
25.08,58.15,473
25.09,58.14,459
25.08,58.16,460
25.07,58.14,462
25.08,58.19,461
25.07,58.21,476
25.06,58.22,456
25.05,58.32,464
25.06,58.32,475
25.05,58.37,463
25.06,58.42,460
25.05,58.62,449
25.04,58.43,454
25.03,58.51,456
25.03,58.67,449
25.03,58.57,475
25.02,58.75,457
25.02,58.62,452
25.02,58.66,455
25.02,58.57,459
25.02,58.56,447
25.01,58.54,454
25.01,58.56,445
25.02,58.58,451
25.02,58.59,448
25.02,58.58,455
25.03,58.76,436
25.04,58.62,460
25.04,58.61,455
25.05,58.61,447
24.98,57.8,455
24.12,54.63,445
23.12,52.95,442
22.51,51.49,472
22.15,50.03,517
21.93,49.18,549
21.8,48.9,601
21.73,48.47,683
21.69,48.49,732
22.02,54.57,812
22.6,59.01,909
22.86,56.74,955
22.77,58.88,1013
22.9,57.5,1078
22.77,58.4,1118
22.9,58.35,1198
22.67,55.71,1236
22.8,59.11,1285
22.74,55.88,1306
22.54,54.09,1181
22.4,58.49,1122
22.75,59.64,1101
23.32,58.07,1076
23.83,57.26,1012
24.25,57.26,1049
24.65,57.16,1105
25.03,57.22,1161
25.36,57.75,1246
24.96,55.71,1385
24.18,54.42,1420
23.55,53.37,1453
23.18,52.43,1482
22.94,51.44,1520
22.77,50.42,1556
22.62,49.57,1582
22.49,48.89,1626
22.4,48.28,1650
22.32,47.93,1650
22.28,47.42,1690
22.18,47.17,1709
22.33,51.44,1715
22.64,52.31,1375
22.62,51.89,1086
22.71,55.88,1029
23.17,59.13,1093
23.87,58.65,1214
24.5,58.17,1353
24.9,56.85,1442
24.68,55.31,1494
24.79,57.15,1515
24.92,56.31,1645
24.58,55.1,1723
24.73,56.72,1805
24.95,55.97,1895
24.65,53.96,1906
24.72,55.17,1949
24.67,53.88,1957
24.7,53.79,1399
24.04,54.8,1400
24.43,56.9,1062
24.79,56.62,898
24.68,55.4,748
24.67,56.12,676
24.61,56.24,692
23.54,51.7,698
22.64,52.62,744
